"Rank","Movie","Predicted_Rating","Match_Percentage","Recommendation_Strength"
1,"Matilda (1996)",4.73,94.67,"High"
2,"Winter Guest, The (1997)",4.55,91.09,"High"
3,"Dangerous Beauty (1998)",4.49,89.71,"High"
4,"Shooting Fish (1997)",4.49,89.71,"High"
5,"Swept from the Sea (1997)",4.49,89.71,"High"
6,"Postman, The (1997)",4.43,88.54,"High"
7,"L.A. Confidential (1997)",4.35,87.08,"High"
8,"American President, The (1995)",4.21,84.17,"High"
9,"Great Dictator, The (1940)",4.21,84.17,"High"
10,"Philadelphia (1993)",4.21,84.17,"High"
